,active,cured,death,new_active,new_cured,new_death,new_positive,positive,sno,state_code,state_name
0,138,5410,66,132,5467,66,5665,5614,2,35,Andaman and Nicobar Islands
1,81471,931839,7616,89732,936143,7685,1033560,1020926,1,28,Andhra Pradesh
2,550,16940,56,581,16968,58,17607,17546,3,12,Arunachal Pradesh
3,15545,218958,1186,16817,219516,1200,237533,235689,4,18,Assam
4,81961,306753,2087,87155,314286,2155,403596,390801,5,10,Bihar
5,4902,32608,433,5236,33021,435,38692,37943,6,04,Chandigarh
6,122963,509622,7111,123835,521217,7310,652362,639696,7,22,Chhattisgarh
7,1904,4471,4,1999,4577,4,6580,6379,8,26,Dadra and Nagar Haveli and Daman and Diu
8,93080,897804,13898,94592,918875,14248,1027715,1004782,10,07,Delhi
9,12078,62113,993,13689,62771,1017,77477,75184,11,30,Goa
10,107594,367972,6171,115006,374699,6328,496033,481737,12,24,Gujarat
11,69384,340247,3703,74248,346304,3767,424319,413334,13,06,Haryana
12,13411,71423,1304,13577,72588,1336,87501,86138,14,02,Himachal Pradesh
13,18064,138184,2126,19558,139050,2147,160755,158374,15,01,Jammu and Kashmir
14,45592,148364,1888,48105,151651,1991,201747,195844,16,20,Jharkhand
15,234502,1055612,14283,262181,1062594,14426,1339201,1304397,17,29,Karnataka
16,198904,1173202,5080,219221,1181324,5110,1405655,1377186,18,32,Kerala
17,1972,11129,136,2027,11192,138,13357,13237,19,37,Ladakh
18,1044,917,1,1178,947,1,2126,1962,20,31,Lakshadweep
19,89363,391299,5041,91548,402623,5133,499304,485703,21,23,Madhya Pradesh
20,696298,3468610,63928,700207,3530060,64760,4295027,4228836,22,27,Maharashtra
21,705,29193,383,805,29231,385,30421,30281,23,14,Manipur
22,1244,14384,158,1388,14446,160,15994,15786,24,17,Meghalaya
23,712,4663,13,726,4671,13,5410,5388,25,15,Mizoram
24,558,12350,95,679,12406,98,13183,13003,26,13,Nagaland
25,39893,359467,1981,42538,362931,1988,407457,401341,27,21,Odisha
26,6767,44767,737,7288,45243,748,53279,52271,28,34,Puducherry
27,46565,277189,8356,48154,282504,8432,339090,332110,29,03,Punjab
28,127616,367485,3527,136702,374134,3601,514437,498628,30,08,Rajasthan
29,798,6223,137,934,6234,138,7306,7158,31,11,Sikkim
30,100668,952186,13475,105180,963251,13557,1081988,1066329,32,33,Tamil Nadu
31,62929,330304,1999,65597,334144,2042,401783,395232,34,36,Telangana
32,727,33408,394,763,33470,394,34627,34529,33,16,Tripura
33,33330,112001,2102,35864,113791,2146,151801,147433,35,05,Uttarakhand
34,288144,752211,10959,297616,777844,11165,1086625,1051314,36,09,Uttar Pradesh
35,81375,635802,10884,88800,644209,10941,743950,728061,37,19,West Bengal
36,2682751,14085110,192311,2813658,14304382,195123,17313163,16960172,11111,,
